"Date","Price","Open","High","Low","Vol.","Change %"
"May 20, 2022","545.73","542.92","557.03","541.53","41.53K","0.31%"
"May 19, 2022","544.07","538.68","548.02","521.19","50.62K","0.56%"
"May 18, 2022","541.06","546.20","555.50","539.91","48.23K","-0.92%"
"May 17, 2022","546.08","520.06","546.90","513.43","42.30K","4.68%"
"May 16, 2022","521.66","506.98","536.71","501.21","47.09K","2.90%"
"May 13, 2022","506.98","535.81","538.95","501.99","58.15K","-5.44%"
"May 12, 2022","536.12","574.39","576.57","534.98","42.68K","-6.66%"
"May 11, 2022","574.39","567.87","579.86","565.77","25.69K","1.15%"
"May 10, 2022","567.87","544.71","568.05","525.83","39.89K","3.16%"
"May 09, 2022","550.49","587.33","593.47","547.86","52.99K","-7.25%"
"May 06, 2022","593.49","631.74","631.74","593.49","34.87K","-6.10%"
"May 05, 2022","632.02","629.36","646.64","618.76","36.89K","-0.67%"
"May 04, 2022","636.30","640.94","650.43","636.27","36.03K","-1.84%"
"Apr 29, 2022","648.26","635.72","655.75","630.88","36.92K","1.97%"
"Apr 28, 2022","635.72","634.43","643.67","632.67","29.76K","0.50%"
"Apr 27, 2022","632.55","604.89","635.00","602.36","32.15K","6.98%"
"Apr 25, 2022","591.26","635.57","643.45","590.71","45.48K","-7.46%"
"Apr 22, 2022","638.93","654.56","666.82","631.36","67.23K","-2.91%"
"Apr 21, 2022","658.07","685.82","685.82","654.89","53.88K","-4.05%"
"Apr 20, 2022","685.86","705.56","717.94","685.86","38.82K","-2.79%"
"Apr 19, 2022","705.56","718.70","732.22","702.99","41.84K","-2.07%"
"Apr 18, 2022","720.45","744.64","749.35","712.76","45.28K","-3.09%"
"Apr 15, 2022","743.46","759.94","764.01","743.46","37.18K","-2.17%"
"Apr 14, 2022","759.94","780.56","784.73","759.94","32.23K","-1.51%"
"Apr 13, 2022","771.62","758.04","771.81","744.51","40.30K","1.79%"
"Apr 12, 2022","758.04","781.57","795.90","757.04","45.01K","-2.95%"
"Apr 08, 2022","781.08","802.17","808.30","781.08","44.45K","-2.64%"
"Apr 07, 2022","802.29","811.34","816.33","802.29","45.33K","-1.46%"
"Apr 06, 2022","814.17","834.70","836.28","810.98","51.88K","-2.71%"
"Apr 05, 2022","836.89","845.75","850.93","836.89","34.91K","-1.03%"
"Apr 04, 2022","845.60","837.05","852.91","834.86","38.30K","1.26%"
"Apr 01, 2022","835.07","823.44","835.15","813.38","51.49K","1.41%"
"Mar 31, 2022","823.44","824.24","832.43","818.69","45.54K","-0.13%"
"Mar 30, 2022","824.54","848.02","850.41","824.35","55.72K","-2.79%"
"Mar 29, 2022","848.17","832.59","856.37","829.44","53.78K","1.87%"
"Mar 28, 2022","832.59","844.53","848.58","813.55","66.27K","-1.41%"
"Mar 25, 2022","844.53","840.53","851.34","832.43","50.80K","0.19%"
"Mar 24, 2022","842.93","851.48","852.94","841.20","52.57K","-0.99%"
"Mar 23, 2022","851.33","849.19","863.65","845.93","57.52K","0.27%"
"Mar 22, 2022","849.04","843.12","861.75","843.12","55.72K","0.77%"
"Mar 21, 2022","842.52","828.72","842.60","828.13","40.10K","1.78%"
"Mar 18, 2022","827.81","810.84","832.20","808.37","45.26K","2.28%"
"Mar 17, 2022","809.34","813.61","827.62","808.94","33.99K","-0.52%"
"Mar 16, 2022","813.61","810.38","821.78","810.38","31.68K","0.40%"
"Mar 15, 2022","810.38","791.91","810.67","788.85","49.86K","2.33%"
"Mar 14, 2022","791.95","800.86","812.67","786.14","59.40K","-1.11%"
"Mar 11, 2022","800.86","815.00","815.02","796.49","63.57K","-1.73%"
"Mar 10, 2022","815.00","810.37","822.75","807.58","51.73K","0.50%"
"Mar 09, 2022","810.97","804.46","818.77","794.33","63.86K","-0.17%"
"Mar 08, 2022","812.37","828.42","830.16","811.63","65.79K","-2.01%"
"Mar 07, 2022","829.02","826.98","832.45","818.81","55.13K","0.91%"
"Mar 04, 2022","821.57","821.84","827.69","819.46","60.11K","0.03%"
"Mar 03, 2022","821.33","807.46","821.33","806.79","52.70K","1.85%"
"Mar 02, 2022","806.41","807.06","815.87","795.36","57.78K","0.03%"
"Mar 01, 2022","806.16","799.11","810.44","797.81","59.03K","0.90%"
"Feb 28, 2022","798.96","796.69","803.14","793.75","51.45K","0.28%"
"Feb 25, 2022","796.69","784.72","803.94","783.52","60.02K","1.53%"
"Feb 24, 2022","784.72","797.53","803.39","768.11","84.94K","-1.62%"
"Feb 23, 2022","797.67","776.19","799.64","768.55","61.98K","2.77%"
"Feb 22, 2022","776.19","791.89","792.88","766.85","61.16K","-1.98%"
"Feb 21, 2022","791.89","778.13","797.06","778.13","38.71K","1.77%"
"Feb 18, 2022","778.13","762.85","781.12","754.18","35.35K","2.01%"
"Feb 17, 2022","762.82","762.74","771.07","758.40","26.95K","0.01%"
"Feb 16, 2022","762.74","748.20","764.99","747.53","30.49K","1.94%"
"Feb 15, 2022","748.20","742.71","750.34","739.50","22.85K","0.74%"
"Feb 14, 2022","742.71","748.96","753.86","736.60","38.24K","-0.83%"
"Feb 11, 2022","748.96","753.53","758.02","747.08","32.15K","-0.61%"
"Feb 10, 2022","753.53","739.41","758.40","739.41","26.23K","1.91%"
"Feb 09, 2022","739.41","720.35","741.84","716.18","34.25K","1.82%"
"Feb 08, 2022","726.17","724.08","731.00","720.14","25.65K","-0.54%"
"Feb 07, 2022","730.14","735.98","751.30","730.14","24.18K","-0.61%"
"Jan 28, 2022","734.63","728.03","735.91","716.60","36.87K","0.91%"
"Jan 27, 2022","728.03","731.76","743.89","720.75","23.36K","-0.51%"
"Jan 26, 2022","731.76","735.99","755.88","731.76","24.67K","-0.02%"
"Jan 25, 2022","731.90","704.48","732.08","688.99","30.52K","3.89%"
"Jan 24, 2022","704.48","756.32","761.23","704.48","48.71K","-6.02%"
"Jan 21, 2022","749.64","743.74","757.29","743.57","34.61K","1.63%"
"Jan 20, 2022","737.59","715.87","744.47","700.44","35.64K","2.25%"
"Jan 19, 2022","721.37","732.60","732.81","715.23","25.21K","-2.35%"
"Jan 18, 2022","738.74","776.02","782.71","727.01","41.07K","-5.64%"
"Jan 17, 2022","782.92","821.97","849.30","779.12","61.39K","-4.75%"
"Jan 14, 2022","821.95","802.63","827.88","788.22","35.45K","1.39%"
"Jan 13, 2022","810.71","844.07","860.26","810.11","41.64K","-3.92%"
"Jan 12, 2022","843.80","844.60","862.03","821.70","60.25K","-1.29%"
"Jan 11, 2022","854.85","849.08","869.91","845.07","43.08K","0.68%"
"Jan 10, 2022","849.08","874.02","892.18","847.93","58.92K","-2.85%"
"Jan 07, 2022","874.02","855.30","874.45","851.04","47.34K","2.72%"
"Jan 06, 2022","850.84","840.20","858.95","836.73","46.21K","1.27%"
"Jan 05, 2022","840.20","818.14","842.31","818.14","53.22K","2.74%"
"Jan 04, 2022","817.80","803.50","822.30","798.36","40.04K","1.78%"
"Dec 31, 2021","803.50","786.59","804.19","783.65","34.49K","1.98%"
"Dec 30, 2021","787.93","777.79","788.15","776.89","43.47K","1.30%"
"Dec 29, 2021","777.82","787.50","789.37","776.66","41.27K","-0.55%"
"Dec 28, 2021","782.15","763.00","783.55","762.88","48.03K","2.51%"
