"Date","Price","Open","High","Low","Vol.","Change %"
"May 20, 2022","307.02","308.02","310.88","305.27","70.13K","-0.32%"
"May 19, 2022","308.02","309.20","309.63","301.84","74.50K","-0.59%"
"May 18, 2022","309.84","315.44","317.55","309.83","78.01K","-1.78%"
"May 17, 2022","315.44","306.62","317.82","304.56","70.43K","2.73%"
"May 16, 2022","307.05","302.39","314.98","300.86","74.12K","1.54%"
"May 13, 2022","302.39","315.44","316.46","300.19","101.54K","-4.16%"
"May 12, 2022","315.52","333.04","333.56","315.29","71.36K","-5.26%"
"May 11, 2022","333.04","330.02","335.55","329.40","47.27K","0.92%"
"May 10, 2022","330.02","321.83","330.02","312.23","74.04K","2.05%"
"May 09, 2022","323.39","341.80","343.40","322.49","88.62K","-5.84%"
"May 06, 2022","343.46","358.75","358.75","343.46","61.70K","-4.26%"
"May 05, 2022","358.75","359.10","365.16","352.88","68.20K","-0.62%"
"May 04, 2022","360.97","363.86","366.89","360.81","72.94K","-1.33%"
"Apr 29, 2022","365.83","360.22","367.83","358.35","77.70K","1.56%"
"Apr 28, 2022","360.20","357.18","363.16","357.18","69.27K","0.87%"
"Apr 27, 2022","357.09","345.17","357.39","344.39","66.43K","3.45%"
"Apr 26, 2022","345.17","333.39","345.17","324.52","83.46K","2.27%"
"Apr 25, 2022","337.51","358.19","362.03","337.29","96.00K","-6.02%"
"Apr 22, 2022","359.12","365.64","372.32","356.61","113.52K","-2.04%"
"Apr 21, 2022","366.61","380.03","380.03","365.26","99.53K","-3.53%"
"Apr 20, 2022","380.04","392.69","393.56","380.04","87.81K","-3.22%"
"Apr 19, 2022","392.69","403.12","407.59","392.61","87.18K","-2.59%"
"Apr 18, 2022","403.12","416.71","418.35","400.88","97.82K","-3.26%"
"Apr 15, 2022","416.71","423.69","424.95","416.61","69.32K","-1.65%"
"Apr 14, 2022","423.69","429.92","431.86","423.69","56.27K","-0.88%"
"Apr 13, 2022","427.45","421.04","427.52","415.05","80.50K","1.53%"
"Apr 12, 2022","421.01","432.02","436.97","420.69","92.83K","-2.55%"
"Apr 08, 2022","432.02","441.61","443.34","432.00","84.35K","-2.17%"
"Apr 07, 2022","441.61","446.06","447.83","441.61","86.12K","-1.17%"
"Apr 06, 2022","446.83","456.07","456.08","445.59","114.00K","-2.03%"
"Apr 05, 2022","456.10","458.86","460.32","456.10","82.66K","-0.56%"
"Apr 04, 2022","458.69","454.10","460.54","454.07","84.02K","1.01%"
"Apr 01, 2022","454.10","449.56","454.10","444.62","123.00K","1.00%"
"Mar 31, 2022","449.62","451.05","453.71","449.30","120.01K","-0.35%"
"Mar 30, 2022","451.19","461.09","461.19","450.86","130.82K","-2.18%"
"Mar 29, 2022","461.24","454.79","465.21","453.84","141.15K","1.40%"
"Mar 28, 2022","454.89","461.75","462.19","450.97","148.45K","-1.49%"
"Mar 25, 2022","461.75","462.14","464.00","458.77","127.18K","-0.23%"
"Mar 24, 2022","462.80","462.10","462.88","458.72","116.37K","0.15%"
"Mar 23, 2022","462.10","461.35","465.59","460.86","122.87K","0.16%"
"Mar 22, 2022","461.35","458.31","465.20","458.31","134.21K","0.67%"
"Mar 21, 2022","458.29","451.49","458.29","451.49","100.37K","1.57%"
"Mar 18, 2022","451.21","446.17","453.76","446.17","111.05K","1.13%"
"Mar 17, 2022","446.16","446.18","450.34","445.93","102.19K","-0.00%"
"Mar 16, 2022","446.18","443.54","448.30","443.53","80.40K","0.60%"
"Mar 15, 2022","443.52","436.56","443.60","435.48","96.85K","1.59%"
"Mar 14, 2022","436.57","442.20","443.53","434.07","125.68K","-1.27%"
"Mar 11, 2022","442.20","447.60","448.17","440.68","168.79K","-1.22%"
"Mar 10, 2022","447.64","444.64","449.87","442.88","118.66K","0.68%"
"Mar 09, 2022","444.60","445.89","448.37","437.97","138.61K","-0.29%"
"Mar 08, 2022","445.89","452.88","453.00","445.44","140.08K","-1.54%"
"Mar 07, 2022","452.86","452.06","454.04","449.64","136.64K","0.50%"
"Mar 04, 2022","450.59","449.35","452.93","449.22","137.48K","0.28%"
"Mar 03, 2022","449.31","442.25","449.33","442.25","119.38K","1.60%"
"Mar 02, 2022","442.25","443.81","446.45","440.40","104.74K","-0.30%"
"Mar 01, 2022","443.56","440.42","444.70","440.14","117.19K","0.71%"
"Feb 28, 2022","440.42","440.16","442.12","438.80","98.75K","0.06%"
"Feb 25, 2022","440.16","434.88","442.74","434.59","104.59K","1.21%"
"Feb 24, 2022","434.88","442.50","444.38","428.39","158.83K","-1.73%"
"Feb 23, 2022","442.54","434.43","442.89","432.35","108.67K","1.87%"
"Feb 22, 2022","434.43","440.99","441.42","430.64","119.18K","-1.49%"
"Feb 21, 2022","440.99","435.61","443.01","435.57","97.37K","1.24%"
"Feb 18, 2022","435.61","430.27","435.73","427.27","81.60K","1.25%"
"Feb 17, 2022","430.24","429.12","432.27","427.88","62.34K","0.26%"
"Feb 16, 2022","429.12","423.84","429.53","423.73","72.43K","1.25%"
"Feb 15, 2022","423.84","421.01","425.25","418.82","47.08K","0.67%"
"Feb 14, 2022","421.01","426.89","427.41","421.01","74.88K","-1.38%"
"Feb 11, 2022","426.89","428.24","429.72","425.74","70.94K","-0.32%"
"Feb 10, 2022","428.24","424.19","431.14","424.19","55.31K","0.95%"
"Feb 09, 2022","424.19","417.86","424.29","415.12","64.77K","1.51%"
"Feb 08, 2022","417.89","419.33","419.62","416.09","58.75K","-0.34%"
"Feb 07, 2022","419.33","417.10","423.81","416.99","52.32K","0.62%"
"Jan 28, 2022","416.73","411.28","417.03","406.85","67.64K","1.33%"
"Jan 27, 2022","411.27","411.82","414.60","405.97","51.67K","-0.13%"
"Jan 26, 2022","411.82","410.23","417.34","410.23","52.31K","0.39%"
"Jan 25, 2022","410.23","400.76","410.95","395.24","69.62K","2.36%"
"Jan 24, 2022","400.76","419.49","421.63","400.67","110.39K","-4.09%"
"Jan 21, 2022","417.84","411.88","421.43","411.88","81.06K","1.47%"
"Jan 20, 2022","411.80","409.32","413.36","397.49","78.51K","0.61%"
"Jan 19, 2022","409.31","421.07","421.07","405.84","98.81K","-2.83%"
"Jan 18, 2022","421.21","445.38","445.38","417.21","91.15K","-5.42%"
"Jan 17, 2022","445.34","466.69","475.93","445.27","130.50K","-4.61%"
"Jan 14, 2022","466.86","460.83","468.48","451.85","86.09K","1.31%"
"Jan 13, 2022","460.83","473.43","478.70","460.70","106.15K","-2.70%"
"Jan 12, 2022","473.64","478.59","481.77","464.91","135.12K","-1.65%"
"Jan 11, 2022","481.61","482.80","486.75","479.80","138.11K","-0.27%"
"Jan 10, 2022","482.89","493.84","500.09","482.65","185.62K","-2.22%"
"Jan 07, 2022","493.84","484.87","493.94","484.87","143.93K","1.85%"
"Jan 06, 2022","484.89","480.36","487.35","479.54","139.69K","0.94%"
"Jan 05, 2022","480.36","474.10","480.87","474.10","131.88K","1.32%"
"Jan 04, 2022","474.10","473.99","479.81","467.51","97.18K","0.02%"
"Dec 31, 2021","473.99","461.67","474.18","460.94","102.38K","2.67%"
"Dec 30, 2021","461.65","457.83","461.88","457.69","115.86K","0.83%"
"Dec 29, 2021","457.83","458.03","460.33","456.90","105.72K","-0.05%"
"Dec 28, 2021","458.05","449.41","458.05","449.41","128.26K","1.92%"
"Dec 27, 2021","449.41","445.60","449.84","444.83","85.30K","0.85%"
"Dec 24, 2021","445.61","442.61","447.04","440.69","115.18K","0.68%"
"Dec 23, 2021","442.61","453.10","454.02","440.97","162.00K","-2.32%"
"Dec 22, 2021","453.10","455.01","457.62","451.60","142.41K","-0.42%"
"Dec 21, 2021","455.01","455.19","456.72","451.87","111.22K","0.09%"
"Dec 20, 2021","454.59","456.20","458.31","451.83","120.83K","-0.35%"
"Dec 17, 2021","456.20","457.04","461.15","454.82","140.19K","-0.18%"
"Dec 16, 2021","457.03","453.70","457.45","453.53","115.57K","0.73%"
"Dec 15, 2021","453.70","454.68","456.23","453.01","112.76K","-0.22%"
"Dec 14, 2021","454.68","457.59","459.12","452.39","108.10K","-0.63%"
"Dec 13, 2021","457.56","450.75","457.68","450.65","108.08K","1.51%"
"Dec 10, 2021","450.75","452.57","453.73","449.58","103.34K","-0.39%"
"Dec 09, 2021","452.53","449.74","453.68","448.47","88.30K","0.62%"
"Dec 08, 2021","449.74","446.42","451.72","446.17","121.19K","0.75%"
"Dec 07, 2021","446.41","435.85","446.41","435.27","104.93K","2.42%"
"Dec 06, 2021","435.85","449.27","450.18","432.99","138.53K","-2.99%"
"Dec 03, 2021","449.27","458.24","460.13","449.27","153.85K","-1.96%"
"Dec 02, 2021","458.23","455.81","460.12","448.17","124.03K","0.53%"
"Dec 01, 2021","455.81","458.05","458.62","454.02","126.66K","-0.49%"
"Nov 30, 2021","458.05","460.58","464.01","456.36","149.16K","-0.55%"
"Nov 29, 2021","460.58","458.63","464.40","449.33","133.96K","0.43%"
"Nov 26, 2021","458.63","459.68","463.76","455.06","133.68K","-0.23%"
"Nov 25, 2021","459.67","455.59","459.99","455.19","106.57K","0.90%"
"Nov 24, 2021","455.58","448.60","455.58","448.22","106.46K","1.56%"
"Nov 23, 2021","448.60","444.68","448.60","437.53","116.67K","0.90%"
"Nov 22, 2021","444.62","453.97","456.50","443.25","180.71K","-2.06%"
"Nov 19, 2021","453.97","468.73","474.76","453.97","250.86K","-3.15%"
"Nov 18, 2021","468.73","462.95","469.90","462.02","168.66K","1.25%"
"Nov 17, 2021","462.95","452.27","462.98","451.53","140.12K","2.37%"
"Nov 16, 2021","452.25","444.85","453.96","439.16","191.31K","1.79%"
"Nov 15, 2021","444.28","441.64","449.62","441.64","204.55K","0.60%"
"Nov 12, 2021","441.63","439.22","442.17","437.43","162.87K","0.66%"
"Nov 11, 2021","438.73","438.24","440.76","432.98","181.85K","0.11%"
"Nov 10, 2021","438.24","432.64","438.33","432.64","150.77K","1.29%"
"Nov 09, 2021","432.64","432.10","434.91","430.16","143.01K","0.12%"
"Nov 08, 2021","432.10","427.67","433.95","427.50","159.43K","1.04%"
"Nov 05, 2021","427.64","422.39","428.52","422.36","145.12K","1.24%"
"Nov 04, 2021","422.42","415.71","422.92","413.84","135.76K","1.61%"
"Nov 03, 2021","415.71","424.12","430.31","415.70","216.14K","-1.98%"
"Nov 02, 2021","424.11","415.55","424.83","415.55","178.22K","2.06%"
"Nov 01, 2021","415.54","412.13","420.42","412.13","169.05K","0.83%"
"Oct 29, 2021","412.12","411.08","413.93","409.20","146.38K","0.26%"
"Oct 28, 2021","411.07","404.36","411.07","403.92","161.21K","1.66%"
"Oct 27, 2021","404.37","397.85","404.82","397.85","136.46K","1.65%"
"Oct 26, 2021","397.81","395.89","398.02","393.46","112.00K","0.49%"
"Oct 25, 2021","395.88","391.30","397.46","390.55","145.26K","1.19%"
"Oct 22, 2021","391.21","388.46","392.13","388.43","151.84K","0.71%"
"Oct 21, 2021","388.45","388.29","391.28","386.33","117.43K","0.04%"
"Oct 20, 2021","388.29","387.00","390.20","385.96","134.43K","0.33%"
"Oct 19, 2021","387.00","384.88","388.00","383.81","106.98K","0.55%"
"Oct 18, 2021","384.88","384.84","388.05","384.33","122.55K","0.01%"
"Oct 15, 2021","384.84","384.99","387.50","383.29","114.74K","0.00%"
"Oct 14, 2021","384.84","379.34","386.49","379.34","104.37K","1.45%"
"Oct 13, 2021","379.34","375.68","379.95","375.68","90.73K","0.97%"
"Oct 12, 2021","375.68","374.34","378.31","374.34","105.24K","0.36%"
"Oct 11, 2021","374.34","371.92","375.20","371.66","93.80K","0.65%"
"Oct 08, 2021","371.92","370.43","372.68","370.07","93.67K","0.41%"
"Oct 07, 2021","370.40","368.38","371.74","368.28","102.28K","0.52%"
"Oct 06, 2021","368.47","366.59","368.52","366.52","98.01K","0.54%"
"Oct 05, 2021","366.50","360.80","366.53","359.96","144.94K","1.55%"
"Oct 04, 2021","360.89","356.49","360.97","356.12","142.45K","1.23%"
"Oct 01, 2021","356.49","357.36","359.42","355.16","114.26K","-0.24%"
"Sep 30, 2021","357.33","354.26","359.05","354.25","90.73K","0.86%"
"Sep 29, 2021","354.29","356.04","356.64","352.71","105.75K","-0.49%"
"Sep 28, 2021","356.03","353.01","357.10","349.62","135.63K","0.86%"
"Sep 27, 2021","353.01","359.56","361.51","352.73","145.72K","-1.84%"
"Sep 24, 2021","359.63","360.95","362.70","358.59","135.35K","-0.39%"
"Sep 23, 2021","361.02","363.46","365.75","359.69","198.81K","-0.66%"
"Sep 22, 2021","363.43","358.99","363.43","358.58","181.16K","1.24%"
"Sep 21, 2021","358.98","359.09","359.47","354.30","185.90K","0.03%"
"Sep 20, 2021","358.87","358.02","362.19","357.14","184.30K","0.25%"
"Sep 17, 2021","357.97","353.24","359.02","353.24","170.06K","1.34%"
"Sep 16, 2021","353.24","350.82","355.60","350.82","157.91K","0.71%"
"Sep 15, 2021","350.75","347.86","352.08","347.66","169.17K","0.83%"
"Sep 14, 2021","347.86","349.07","353.44","347.35","165.06K","-0.34%"
"Sep 13, 2021","349.05","350.04","354.39","348.70","167.60K","-0.29%"
"Sep 10, 2021","350.05","350.44","352.36","349.38","120.75K","-0.11%"
"Sep 09, 2021","350.44","347.24","350.99","347.07","107.11K","0.91%"
"Sep 08, 2021","347.28","346.49","350.61","346.49","117.11K","0.23%"
"Sep 07, 2021","346.48","345.65","350.81","345.65","169.03K","0.25%"
"Sep 06, 2021","345.63","343.55","348.45","343.55","184.68K","0.64%"
"Sep 01, 2021","343.42","342.84","345.68","341.87","133.94K","0.18%"
"Aug 31, 2021","342.81","341.30","343.85","341.06","144.04K","0.44%"
"Aug 30, 2021","341.30","338.79","342.68","338.58","134.95K","0.74%"
"Aug 27, 2021","338.79","336.64","338.79","332.41","133.78K","0.58%"
"Aug 26, 2021","336.85","336.01","340.75","335.02","118.69K","0.25%"
"Aug 25, 2021","336.01","331.79","336.01","329.47","100.05K","1.27%"
"Aug 24, 2021","331.79","334.82","339.15","329.91","161.13K","-0.91%"
"Aug 23, 2021","334.84","338.07","339.62","334.84","166.82K","-0.95%"
"Aug 20, 2021","338.06","346.08","347.31","332.46","258.87K","-2.31%"
"Aug 19, 2021","346.07","344.82","347.15","343.38","152.37K","0.36%"
"Aug 18, 2021","344.82","343.16","346.14","342.51","147.95K","0.50%"
"Aug 17, 2021","343.11","343.53","345.38","341.24","167.11K","-0.12%"
"Aug 16, 2021","343.53","336.96","343.76","336.76","180.37K","1.95%"
"Aug 13, 2021","336.96","334.33","336.97","330.10","152.35K","0.79%"
"Aug 12, 2021","334.33","334.55","337.50","332.86","149.65K","-0.03%"
"Aug 11, 2021","334.44","335.33","338.13","334.44","147.63K","-0.19%"
